[7.9392, 11.32987]
[5.37639, 13.79474]
[5.28049, 13.73346]
[5.1856, 13.67025]
[5.09178, 13.60515]
[4.99906, 13.53817]
[4.90748, 13.46933]
[4.81708, 13.39864]
[8.227458, 11.37764]
[6.72098, 10.67778]
[4.72789, 13.32614]
[10.28956, 10.46272]
[4.63995, 13.25183]
[4.55329, 13.17574]
[4.46796, 13.09789]
[4.38398, 13.0183]
[4.3014, 12.93701]
[4.22024, 12.85402]
[4.14055, 12.76938]
[4.06235, 12.68309]
[6.6816, 10.64031]
[3.98568, 12.5952]
[3.91057, 12.50572]
[10.26823, 10.49439]
[3.83705, 12.41469]
[3.76517, 12.32213]
[3.69494, 12.22807]
[3.6264, 12.13254]
[3.55958, 12.03557]
[3.4945, 11.93719]
[3.43121, 11.83744]
[6.64282, 10.60194]
[3.36972, 11.73634]
[3.31007, 11.63394]
[3.25229, 11.53025]
[10.24616, 10.52577]
[3.19639, 11.42532]
[3.14241, 11.31918]
[3.09037, 11.21187]
[3.0403, 11.10342]
[2.99222, 10.99386]
[2.94616, 10.88324]
[6.60467, 10.56269]
[2.90213, 10.77159]
[2.86017, 10.65895]
[2.82029, 10.54536]
[2.78252, 10.43085]
[10.22336, 10.55685]
[2.74687, 10.31546]
[2.71336, 10.19924]
[2.68202, 10.08222]
[2.65286, 9.964448]
[2.62589, 9.845959]
[6.56716, 10.52257]
[2.60114, 9.726795]
[2.57863, 9.606999]
[2.55835, 9.486611]
[2.54034, 9.365675]
[2.5246, 9.244232]
[10.19983, 10.58761]
[2.51115, 9.122326]
[10.17557, 10.61803]
[10.15059, 10.6481]
[6.53032, 10.48159]
[10.12489, 10.6778]
[10.09848, 10.70712]
[10.07136, 10.73603]
[10.04353, 10.76452]
[10.01502, 10.79258]
[9.985813, 10.82018]
[9.955926, 10.84732]
[9.925365, 10.87398]
[9.894136, 10.90014]
[9.86225, 10.92578]
[9.829712, 10.95089]
[9.796533, 10.97546]
[9.762721, 10.99946]
[9.728287, 11.02289]
[9.693238, 11.04573]
[9.657587, 11.06797]
[9.621342, 11.08958]
[9.584515, 11.11055]
[6.49417, 10.43975]
[9.547118, 11.13088]
[9.509161, 11.15055]
[9.470656, 11.16954]
[9.431615, 11.18783]
[9.392052, 11.20542]
[9.351978, 11.2223]
[9.311406, 11.23844]
[9.270351, 11.25384]
[9.228825, 11.26849]
[6.45871, 10.39709]
[9.186843, 11.28237]
[9.144418, 11.29546]
[9.101566, 11.30777]
[9.0583018, 11.31927]
[9.0146397, 11.32995]
[8.9705955, 11.33982]
[8.9261847, 11.34884]
[8.881423, 11.35702]
[8.836328, 11.36434]
[8.790914, 11.3708]
[6.42398, 10.35359]
[8.745199, 11.37638]
[8.6992, 11.38108]
[8.652934, 11.38488]
[8.606418, 11.38778]
[8.55967, 11.38977]
[8.512708, 11.39085]
[8.465549, 11.391]
[8.418212, 11.39021]
[8.370716, 11.38849]
[8.179511, 11.37211]
[6.38998, 10.30928]
[8.323079, 11.38583]
[6.35675, 10.26417]
[6.32429, 10.21826]
[6.29262, 10.17159]
[6.26177, 10.12415]
[6.23175, 10.07596]
[6.20257, 10.02704]
[6.17426, 9.977395]
[6.14683, 9.927051]
[8.1315, 11.36561]
[6.1203, 9.876019]
[6.09468, 9.824315]
[6.06999, 9.771955]
[6.04624, 9.718957]
[6.02345, 9.665337]
[6.00164, 9.611113]
[5.98082, 9.556302]
[5.96101, 9.500922]
[5.94221, 9.444993]
[8.083443, 11.35814]
[5.92444, 9.388533]
[5.90772, 9.331561]
[5.89206, 9.274096]
[5.87747, 9.216158]
[5.86397, 9.157767]
[5.85155, 9.0989439]
[5.84025, 9.0397087]
[5.83006, 8.9800824]
[5.821, 8.9200863]
[8.035361, 11.3497]
[5.81308, 8.859742]
[5.80631, 8.79907]
[5.8007, 8.738094]
[5.79626, 8.676835]
[5.79299, 8.615316]
[5.7909, 8.553559]
[5.79001, 8.491588]
[5.79032, 8.429425]
[5.79183, 8.367093]
[5.79456, 8.304617]
[7.98727, 11.34027]
[5.79851, 8.242019]
[5.80368, 8.179323]
[5.81007, 8.116554]
[5.81771, 8.053736]
[5.82658, 7.99089]
[5.83669, 7.92805]
[5.84805, 7.86523]
[5.86065, 7.80246]
[5.87451, 7.73976]
[7.5, 9.0]
[7.49027, 8.9715389]
[7.48108, 8.9427109]
[7.47245, 8.9135266]
[7.46438, 8.883997]
[7.45688, 8.854132]
[7.44997, 8.823944]
[7.44365, 8.793444]
[7.43793, 8.762644]
[7.43283, 8.731555]
[7.42834, 8.70019]
[7.42448, 8.668561]
[7.42127, 8.636681]
[7.41869, 8.604563]
[7.41677, 8.57222]
[7.41552, 8.539665]
[7.41492, 8.506911]
[7.41501, 8.473972]
[7.41578, 8.440863]
[7.41723, 8.407597]
[7.41938, 8.374188]
[7.42223, 8.340651]
[7.42579, 8.307001]
[7.43005, 8.273252]
[7.43503, 8.239419]
[7.44074, 8.205517]
[7.44717, 8.171561]
[7.45433, 8.137567]
[7.46222, 8.103551]
[7.47084, 8.069527]
[7.48021, 8.035512]
[7.49032, 8.001521]
[7.50117, 7.96757]
[7.51277, 7.93368]
[7.52512, 7.89985]
[7.53821, 7.86612]
[7.55206, 7.83249]
[7.56666, 7.79899]
[11.69905, 11.29058]
[11.66289, 11.34766]
[11.62555, 11.40418]
[11.58701, 11.46014]
[11.5473, 11.51549]
[11.50641, 11.57021]
[11.46437, 11.62429]
[11.42118, 11.67769]
[11.37684, 11.73039]
[11.33138, 11.78237]
[11.2848, 11.8336]
[11.23711, 11.88407]
[11.18833, 11.93374]
[11.13847, 11.98259]
[11.08755, 12.0306]
[11.03557, 12.07775]
[10.98256, 12.12401]
[10.92852, 12.16937]
[10.87348, 12.2138]
[10.81744, 12.25727]
[10.76043, 12.29977]
[10.70246, 12.34127]
[10.64356, 12.38176]
[10.58372, 12.42122]
[10.52299, 12.45961]
[10.46136, 12.49693]
[10.39887, 12.53315]
[10.33554, 12.56826]
[10.27137, 12.60222]
[10.2064, 12.63504]
[10.14064, 12.66668]
[10.07412, 12.69713]
[10.00685, 12.72637]
[9.938859, 12.75439]
[9.870171, 12.78116]
[9.800806, 12.80668]
[9.730787, 12.83092]
[9.660139, 12.85387]
[9.588884, 12.87551]
[9.517048, 12.89584]
[9.444654, 12.91483]
[9.371728, 12.93247]
[9.298294, 12.94875]
[9.224379, 12.96365]
[9.150007, 12.97717]
[9.0752053, 12.98929]
[9.0, 13.0]
[8.9244178, 13.00929]
[8.848485, 13.01714]
[8.77223, 13.02356]
[8.69568, 13.02852]
[8.618861, 13.03203]
[8.541803, 13.03406]
[8.464533, 13.03462]
[8.38708, 13.0337]
[8.309471, 13.03129]
[8.231737, 13.02738]
[8.153905, 13.02197]
[8.076004, 13.01505]
[7.99807, 13.00662]
[7.92012, 12.99668]
[7.84219, 12.98522]
[7.76431, 12.97224]
[7.68651, 12.95773]
[7.60881, 12.9417]
[7.53126, 12.92414]
[7.45388, 12.90506]
[7.37669, 12.88445]
[7.29973, 12.86232]
[7.22304, 12.83866]
[7.14663, 12.81348]
[7.07054, 12.78678]
[6.9948, 12.75856]
[6.91944, 12.72883]
[6.84449, 12.69759]
[6.76998, 12.66485]
[6.69594, 12.63061]
[6.62241, 12.59488]
[6.5494, 12.55766]
[6.47695, 12.51897]
[6.40509, 12.4788]
[6.33385, 12.43717]
[6.26327, 12.3941]
[6.19336, 12.34957]
[6.12415, 12.30362]
[6.05569, 12.25625]
[5.98799, 12.20746]
[5.92109, 12.15728]
[5.85501, 12.10571]
[5.78979, 12.05277]
[5.72544, 11.99848]
[5.66201, 11.94284]
[5.59951, 11.88587]
[5.53797, 11.82759]
[5.47743, 11.76801]
[5.4179, 11.70715]
[5.35942, 11.64503]
[5.30202, 11.58167]
[5.24571, 11.51708]
[5.19052, 11.45128]
[5.13649, 11.38429]
[5.08362, 11.31614]
[5.03196, 11.24684]
[4.98152, 11.17641]
[4.93233, 11.10488]
[4.88442, 11.03226]
[4.8378, 10.95858]
[4.79249, 10.88387]
[4.74853, 10.80815]
[4.70593, 10.73143]
[4.66471, 10.65375]
[4.6249, 10.57513]
[4.58652, 10.4956]
[4.54959, 10.41517]
[4.51412, 10.33389]
[4.48014, 10.25177]
[4.44766, 10.16884]
[4.41671, 10.08513]
[4.38729, 10.00067]
[4.35944, 9.915489]
[4.33317, 9.829609]
[4.30848, 9.743064]
[4.2854, 9.655882]
[4.26395, 9.568093]
[4.24413, 9.479729]
[4.22597, 9.390819]
[4.20947, 9.301394]
[4.19465, 9.211487]
[4.18152, 9.121127]
[4.1701, 9.0303476]
[4.16038, 8.9391804]
[4.15239, 8.847658]
[4.14614, 8.755813]
[4.14163, 8.663678]
[4.13887, 8.571286]
[4.13787, 8.478671]
[4.13864, 8.385867]
[4.14118, 8.292907]
[4.1455, 8.199825]
[4.15162, 8.106656]
[4.15952, 8.013433]
[4.16921, 7.92019]
[4.18071, 7.82696]
[4.194, 7.73379]
[4.2091, 7.6407]
[4.22601, 7.54773]
[4.24472, 7.45492]
[4.26523, 7.36229]
[4.28756, 7.26989]
[4.31168, 7.17775]
[4.33761, 7.08591]
[4.36534, 6.9944]
[4.39486, 6.90326]
[4.42618, 6.81252]
[4.45929, 6.72221]
[4.49417, 6.63238]
[4.53084, 6.54306]
[4.56927, 6.45427]
[4.60946, 6.36607]
[4.65141, 6.27848]
[4.69511, 6.19153]
[4.74054, 6.10527]
[4.78769, 6.01972]
[4.83656, 5.93493]
[4.88713, 5.85092]
[4.93939, 5.76773]
[4.99333, 5.6854]




[10.5, 9.0]
[10.58422, 9.559137]
[10.50973, 9.0284611]
[10.58277, 9.592403]
[6.30095, 6.70942]
[6.33711, 6.65234]
[6.37445, 6.59582]
[6.41299, 6.53986]
[6.4527, 6.48451]
[10.58062, 9.625812]
[6.49359, 6.42979]
[6.53563, 6.37571]
[6.57882, 6.32231]
[6.62316, 6.26961]
[6.66862, 6.21763]
[10.57166, 9.29981]
[6.7152, 6.1664]
[6.76289, 6.11593]
[6.81167, 6.06626]
[6.86153, 6.01741]
[6.91245, 5.9694]
[10.57777, 9.659349]
[6.96443, 5.92225]
[7.01744, 5.87599]
[7.07148, 5.83063]
[7.12652, 5.7862]
[7.18256, 5.74273]
[7.23957, 5.70023]
[7.29754, 5.65873]
[7.35644, 5.61824]
[7.41628, 5.57878]
[7.47701, 5.54039]
[10.57421, 9.692999]
[7.53864, 5.50307]
[7.60113, 5.46685]
[7.66446, 5.43174]
[7.72863, 5.39778]
[7.7936, 5.36496]
[7.85936, 5.33332]
[7.92588, 5.30287]
[7.99315, 5.27363]
[8.061141, 5.24561]
[8.129829, 5.21884]
[10.56995, 9.726748]
[8.199194, 5.19332]
[8.269213, 5.16908]
[8.339861, 5.14613]
[8.411116, 5.12449]
[8.482952, 5.10416]
[8.555346, 5.08517]
[8.628272, 5.06753]
[8.701706, 5.05125]
[8.775621, 5.03635]
[8.849993, 5.02283]
[10.56497, 9.760581]
[8.9247947, 5.01071]
[9.0, 5.0]
[9.0755822, 4.99071]
[9.151515, 4.98286]
[9.22777, 4.97644]
[9.30432, 4.97148]
[9.381139, 4.96797]
[9.458197, 4.96594]
[9.535467, 4.96538]
[9.61292, 4.9663]
[10.55926, 9.794483]
[9.690529, 4.96871]
[9.768263, 4.97262]
[9.846095, 4.97803]
[9.923996, 4.98495]
[10.00193, 4.99338]
[10.07988, 5.00332]
[10.15781, 5.01478]
[10.23569, 5.02776]
[10.31349, 5.04227]
[10.39119, 5.0583]
[10.55283, 9.828439]
[10.46874, 5.07586]
[10.54612, 5.09494]
[10.62331, 5.11555]
[10.70027, 5.13768]
[10.77696, 5.16134]
[10.85337, 5.18652]
[10.92946, 5.21322]
[11.0052, 5.24144]
[11.08056, 5.27117]
[10.56717, 9.268445]
[11.15551, 5.30241]
[10.54567, 9.862433]
[11.23002, 5.33515]
[11.30406, 5.36939]
[11.37759, 5.40512]
[11.4506, 5.44234]
[11.52305, 5.48103]
[11.59491, 5.5212]
[11.66615, 5.56283]
[11.73673, 5.6059]
[11.80664, 5.65043]
[11.87585, 5.69638]
[10.53778, 9.896449]
[11.94431, 5.74375]
[12.01201, 5.79254]
[12.07891, 5.84272]
[12.14499, 5.89429]
[12.21021, 5.94723]
[12.27456, 6.00152]
[12.33799, 6.05716]
[12.40049, 6.11413]
[12.46203, 6.17241]
[12.52257, 6.23199]
[10.51892, 9.0572891]
[10.52916, 9.930473]
[12.5821, 6.29285]
[12.64058, 6.35497]
[12.69798, 6.41833]
[12.75429, 6.48292]
[12.80948, 6.54872]
[12.86351, 6.61571]
[12.91638, 6.68386]
[12.96804, 6.75316]
[13.01848, 6.82359]
[13.06767, 6.89512]
[10.51979, 9.964488]
[13.11558, 6.96774]
[13.1622, 7.04142]
[13.20751, 7.11613]
[13.25147, 7.19185]
[10.57552, 9.331439]
[13.29407, 7.26857]
[13.33529, 7.34625]
[13.3751, 7.42487]
[13.41348, 7.5044]
[13.45041, 7.58483]
[13.48588, 7.66611]
[10.50968, 9.998479]
[13.51986, 7.74823]
[13.55234, 7.83116]
[13.58329, 7.91487]
[13.61271, 7.99933]
[13.64056, 8.084511]
[13.66683, 8.170391]
[13.69152, 8.256936]
[13.7146, 8.344118]
[13.73605, 8.431907]
[13.75587, 8.520271]
[10.49883, 10.03243]
[13.77403, 8.609181]
[13.79053, 8.698606]
[13.80535, 8.788513]
[13.81848, 8.878873]
[13.8299, 8.9696524]
[13.83962, 9.0608196]
[13.84761, 9.152342]
[13.85386, 9.244187]
[13.85837, 9.336322]
[13.86113, 9.428714]
[10.48723, 10.06632]
[13.86213, 9.521329]
[13.86136, 9.614133]
[13.85882, 9.707093]
[13.8545, 9.800175]
[13.84838, 9.893344]
[13.84048, 9.986567]
[13.83079, 10.07981]
[13.81929, 10.17304]
[13.806, 10.26621]
[13.7909, 10.3593]
[10.47488, 10.10015]
[13.77399, 10.45227]
[13.75528, 10.54508]
[13.73477, 10.63771]
[13.71244, 10.73011]
[13.68832, 10.82225]
[13.66239, 10.91409]
[13.63466, 11.0056]
[13.60514, 11.09674]
[13.57382, 11.18748]
[13.54071, 11.27779]
[10.46179, 10.13388]
[13.50583, 11.36762]
[13.46916, 11.45694]
[13.43073, 11.54573]
[13.39054, 11.63393]
[13.34859, 11.72152]
[13.30489, 11.80847]
[13.25946, 11.89473]
[13.21231, 11.98028]
[13.16344, 12.06507]
[13.11287, 12.14908]
[10.44794, 10.16751]
[13.06061, 12.23227]
[13.00667, 12.3146]
[10.52755, 9.0864734]
[10.57873, 9.363319]
[10.53562, 9.116003]
[10.54312, 9.145868]
[10.58131, 9.395437]
[10.55003, 9.176056]
[10.55635, 9.206556]
[10.56207, 9.237356]
[10.58323, 9.42778]
[10.58448, 9.460335]
[10.58508, 9.493089]
[10.58499, 9.526028]
[15.4754, 8.755768]
[15.48885, 8.877674]
[7.58201, 7.76562]
[7.59811, 7.7324]
[7.61496, 7.69936]
[7.63256, 7.6665]
[7.65091, 7.63385]
[7.67001, 7.60142]
[7.68985, 7.56922]
[7.71044, 7.53728]
[7.73177, 7.50561]
[7.75384, 7.47423]
[7.77664, 7.44315]
[7.80017, 7.41239]
[7.82443, 7.38197]
[7.84941, 7.3519]
[7.87511, 7.3222]
[7.90152, 7.29288]
[7.92864, 7.26397]
[7.95647, 7.23548]
[7.98498, 7.20742]
[8.014187, 7.17982]
[8.044074, 7.15268]
[8.074635, 7.12602]
[8.105864, 7.09986]
[8.13775, 7.07422]
[8.170288, 7.04911]
[8.203467, 7.02454]
[8.237279, 7.00054]
[8.271713, 6.97711]
[8.306762, 6.95427]
[8.342413, 6.93203]
[8.378658, 6.91042]
[8.415485, 6.88945]
[8.452882, 6.86912]
[8.490839, 6.84945]
[8.529344, 6.83046]
[8.568385, 6.81217]
[8.607948, 6.79458]
[8.648022, 6.7777]
[8.688594, 6.76156]
[8.729649, 6.74616]
[8.771175, 6.73151]
[8.813157, 6.71763]
[8.855582, 6.70454]
[8.898434, 6.69223]
[8.9416982, 6.68073]
[8.9853603, 6.67005]
[9.0294045, 6.66018]
[9.0738153, 6.65116]
[9.118577, 6.64298]
[9.163672, 6.63566]
[9.209086, 6.6292]
[9.254801, 6.62362]
[9.3008, 6.61892]
[9.347066, 6.61512]
[9.393582, 6.61222]
[9.44033, 6.61023]
[9.487292, 6.60915]
[9.534451, 6.609]
[9.581788, 6.60979]
[9.629284, 6.61151]
[9.676921, 6.61417]
[9.72468, 6.61779]
[9.772542, 6.62236]
[9.820489, 6.62789]
[9.8685, 6.63439]
[9.916557, 6.64186]
[9.964639, 6.6503]
[10.01273, 6.65973]
[10.0608, 6.67013]
[10.10884, 6.68152]
[10.15683, 6.69389]
[10.20474, 6.70725]
[10.25256, 6.7216]
[10.30026, 6.73695]
[10.34783, 6.75328]
[10.39524, 6.77061]
[10.44248, 6.78893]
[10.48952, 6.80824]
[10.53634, 6.82854]
[10.58293, 6.84983]
[10.62925, 6.87211]
[10.6753, 6.89537]
[10.72104, 6.91961]
[10.76647, 6.94484]
[10.81155, 6.97104]
[10.85627, 6.99821]
[10.90061, 7.02635]
[10.94454, 7.05546]
[10.98805, 7.08552]
[11.03112, 7.11653]
[11.07372, 7.14849]
[11.11583, 7.18138]
[11.15744, 7.21521]
[11.19852, 7.24997]
[11.23905, 7.28564]
[11.27902, 7.32222]
[11.3184, 7.35969]
[11.35718, 7.39806]
[11.39533, 7.43731]
[11.43284, 7.47743]
[11.46968, 7.51841]
[11.50583, 7.56025]
[11.54129, 7.60291]
[11.57602, 7.64641]
[11.61002, 7.69072]
[11.64325, 7.73583]
[11.67571, 7.78174]
[11.70738, 7.82841]
[11.73823, 7.87585]
[11.76825, 7.92404]
[11.79743, 7.97296]
[11.82574, 8.022605]
[11.85317, 8.072949]
[11.8797, 8.123981]
[11.90532, 8.175685]
[11.93001, 8.228045]
[11.95376, 8.281043]
[11.97655, 8.334663]
[11.99836, 8.388887]
[12.01918, 8.443698]
[12.03899, 8.499078]
[12.05779, 8.555007]
[12.07556, 8.611467]
[12.09228, 8.668439]
[12.10794, 8.725904]
[12.12253, 8.783842]
[12.13603, 8.842233]
[12.14845, 8.9010561]
[12.15975, 8.9602913]
[12.16994, 9.0199176]
[12.179, 9.0799137]
[12.18692, 9.140258]
[12.19369, 9.20093]
[12.1993, 9.261906]
[12.20374, 9.323165]
[12.20701, 9.384684]
[12.2091, 9.446441]
[12.20999, 9.508412]
[12.20968, 9.570575]
[12.20817, 9.632907]
[12.20544, 9.695383]
[12.20149, 9.757981]
[12.19632, 9.820677]
[12.18993, 9.883446]
[12.18229, 9.946264]
[12.17342, 10.00911]
[12.16331, 10.07195]
[12.15195, 10.13477]
[12.13935, 10.19754]
[12.12549, 10.26024]
[12.11038, 10.32284]
[12.09402, 10.38532]
[12.07641, 10.44765]
[12.05755, 10.50981]
[12.03743, 10.57176]
[12.01605, 10.6335]
[11.99343, 10.69498]
[11.96956, 10.75619]
[11.94444, 10.8171]
[11.91808, 10.87769]
[11.89047, 10.93793]
[11.86163, 10.99779]
[11.83156, 11.05725]
[11.80026, 11.11628]
[11.76774, 11.17487]
[11.734, 11.23297]
[5.04893, 5.60395]
[5.10619, 5.52342]
[5.16507, 5.44384]
[5.22558, 5.36526]
[5.28769, 5.28769]
[5.35138, 5.21117]
[5.41665, 5.13574]
[5.48346, 5.06143]
[5.5518, 4.98827]
[5.62165, 4.91628]
[5.693, 4.8455]
[5.76581, 4.77597]
[5.84007, 4.70771]
[5.91576, 4.64075]
[5.99285, 4.57512]
[6.07133, 4.51085]
[6.15115, 4.44797]
[6.23232, 4.38651]
[6.31478, 4.32649]
[6.39853, 4.26794]
[6.48353, 4.2109]
[6.56976, 4.15538]
[6.65719, 4.10141]
[6.7458, 4.04902]
[6.83554, 3.99824]
[6.92641, 3.94908]
[7.01835, 3.90157]
[7.11136, 3.85574]
[7.20538, 3.8116]
[7.30041, 3.76919]
[7.39639, 3.72852]
[7.49331, 3.68961]
[7.59112, 3.65248]
[7.6898, 3.61716]
[7.7893, 3.58366]
[7.88961, 3.55201]
[7.99068, 3.52221]
[8.092485, 3.49429]
[8.19498, 3.46827]
[8.298134, 3.44416]
[8.401911, 3.42197]
[8.506276, 3.40173]
[8.611192, 3.38344]
[8.716622, 3.36712]
[8.822529, 3.35279]
[8.9288762, 3.34045]
[9.0356254, 3.33011]
[9.142739, 3.32179]
[9.250179, 3.3155]
[9.357906, 3.31125]
[9.465882, 3.30904]
[9.574069, 3.30888]
[9.682427, 3.31078]
[9.790916, 3.31475]
[9.899498, 3.32079]
[10.00813, 3.32891]
[10.11678, 3.33911]
[10.2254, 3.35139]
[10.33395, 3.36576]
[10.4424, 3.38222]
[10.5507, 3.40077]
[10.65881, 3.4214]
[10.7667, 3.44413]
[10.87431, 3.46895]
[10.98162, 3.49585]
[11.08857, 3.52483]
[11.19514, 3.5559]
[11.30128, 3.58904]
[11.40694, 3.62425]
[11.5121, 3.66152]
[11.6167, 3.70085]
[11.72071, 3.74223]
[11.82409, 3.78565]
[11.9268, 3.83111]
[12.0288, 3.87858]
[12.13004, 3.92807]
[12.23049, 3.97956]
[12.33012, 4.03304]
[12.42887, 4.08849]
[12.52671, 4.1459]
[12.62361, 4.20526]
[12.71951, 4.26654]
[12.8144, 4.32975]
[12.90822, 4.39485]
[13.00094, 4.46183]
[13.09252, 4.53067]
[13.18292, 4.60136]
[13.27211, 4.67386]
[13.36005, 4.74817]
[13.44671, 4.82426]
[13.53204, 4.90211]
[13.61602, 4.9817]
[13.6986, 5.06299]
[13.77976, 5.14598]
[13.85945, 5.23062]
[13.93765, 5.31691]
[14.01432, 5.4048]
[14.08943, 5.49428]
[14.16295, 5.58531]
[14.23483, 5.67787]
[14.30506, 5.77193]
[14.3736, 5.86746]
[14.44042, 5.96443]
[14.5055, 6.06281]
[14.56879, 6.16256]
[14.63028, 6.26366]
[14.68993, 6.36606]
[14.74771, 6.46975]
[14.80361, 6.57468]
[14.85759, 6.68082]
[14.90963, 6.78813]
[14.9597, 6.89658]
[15.00778, 7.00614]
[15.05384, 7.11676]
[15.09787, 7.22841]
[15.13983, 7.34105]
[15.17971, 7.45464]
[15.21748, 7.56915]
[15.25313, 7.68454]
[15.28664, 7.80076]
[15.31798, 7.91778]
[15.34714, 8.035552]
[15.37411, 8.154041]
[15.39886, 8.273205]
[15.42137, 8.393001]
[15.44165, 8.513389]
[15.45966, 8.634325]




