[-1.51115, 15.377674]
[-8.392052, 13.29458]
[-8.351978, 13.2777]
[-8.311406, 13.26156]
[-8.270351, 13.24616]
[-8.228825, 13.23151]
[-8.186843, 13.21763]
[-8.144418, 13.20454]
[-8.101566, 13.19223]
[-8.0583018, 13.18073]
[-8.0146397, 13.17005]
[-7.9705955, 13.16018]
[-7.9261847, 13.15116]
[-7.881423, 13.14298]
[-7.836328, 13.13566]
[-7.790914, 13.1292]
[-7.745199, 13.12362]
[-7.6992, 13.11892]
[-7.652934, 13.11512]
[-7.606418, 13.11222]
[-7.55967, 13.11023]
[-7.512708, 13.10915]
[-7.465549, 13.109]
[-7.418212, 13.10979]
[-7.370716, 13.11151]
[-7.323079, 13.11417]
[-7.27532, 13.11779]
[-7.227458, 13.12236]
[-7.179511, 13.12789]
[-7.1315, 13.13439]
[-7.083443, 13.14186]
[-7.035361, 13.1503]
[-6.98727, 13.15973]
[-6.9392, 13.17013]
[-6.89116, 13.18152]
[-6.84317, 13.19389]
[-6.79526, 13.20725]
[-6.74744, 13.2216]
[-6.69974, 13.23695]
[-6.65217, 13.25328]
[-6.60476, 13.27061]
[-6.55752, 13.28893]
[-6.51048, 13.30824]
[-6.46366, 13.32854]
[-6.41707, 13.34983]
[-6.37075, 13.37211]
[-6.3247, 13.39537]
[-6.27896, 13.41961]
[-6.23353, 13.44484]
[-6.18845, 13.47104]
[-6.14373, 13.49821]
[-6.09939, 13.52635]
[-6.05546, 13.55546]
[-6.01195, 13.58552]
[-5.96888, 13.61653]
[-5.92628, 13.64849]
[-5.88417, 13.68138]
[-5.84256, 13.71521]
[-5.80148, 13.74997]
[-5.76095, 13.78564]
[-5.72098, 13.82222]
[-5.6816, 13.85969]
[-5.64282, 13.89806]
[-5.60467, 13.93731]
[-5.56716, 13.97743]
[-5.53032, 14.01841]
[-5.49417, 14.06025]
[-5.45871, 14.10291]
[-5.42398, 14.14641]
[-5.38998, 14.19072]
[-5.35675, 14.23583]
[-5.32429, 14.28174]
[-5.29262, 14.32841]
[-5.26177, 14.37585]
[-5.23175, 14.42404]
[-5.20257, 14.47296]
[-5.17426, 14.522605]
[-5.14683, 14.572949]
[-5.1203, 14.623981]
[-5.09468, 14.675685]
[-5.06999, 14.728045]
[-5.04624, 14.781043]
[-5.02345, 14.834663]
[-5.00164, 14.888887]
[-4.98082, 14.943698]
[-4.96101, 14.999078]
[-4.94221, 15.055007]
[-4.92444, 15.111467]
[-4.90772, 15.168439]
[-4.89206, 15.225904]
[-4.87747, 15.283842]
[-4.86397, 15.342233]
[-4.85155, 15.4010561]
[-4.84025, 15.4602913]
[-4.83006, 15.5199176]
[-4.821, 15.5799137]
[-4.81308, 15.640258]
[-4.80631, 15.70093]
[-4.8007, 15.761906]
[-4.79626, 15.823165]
[-4.79299, 15.884684]
[-4.7909, 15.946441]
[-4.79001, 16.008412]
[-4.79032, 16.070575]
[-4.79183, 16.132907]
[-4.79456, 16.195383]
[-4.79851, 16.257981]
[-4.80368, 16.320677]
[-4.81007, 16.383446]
[-4.81771, 16.446264]
[-4.82658, 16.50911]
[-4.83669, 16.57195]
[-4.84805, 16.63477]
[-4.86065, 16.69754]
[-4.87451, 16.76024]
[-4.88962, 16.82284]
[-4.90598, 16.88532]
[-4.92359, 16.94765]
[-4.94245, 17.00981]
[-4.96257, 17.07176]
[-4.98395, 17.1335]
[-5.00657, 17.19498]
[-5.03044, 17.25619]
[-5.05556, 17.3171]
[-5.08192, 17.37769]
[-5.10953, 17.43793]
[-5.13837, 17.49779]
[-5.16844, 17.55725]
[-5.19974, 17.61628]
[-5.23226, 17.67487]
[-5.266, 17.73297]
[-5.30095, 17.79058]
[-5.33711, 17.84766]
[-5.37445, 17.90418]
[-5.41299, 17.96014]
[-5.4527, 18.01549]
[-5.49359, 18.07021]
[-5.53563, 18.12429]
[-5.57882, 18.17769]
[-5.62316, 18.23039]
[-5.66862, 18.28237]
[-5.7152, 18.3336]
[-5.76289, 18.38407]
[-5.81167, 18.43374]
[-5.86153, 18.48259]
[-5.91245, 18.5306]
[-5.96443, 18.57775]
[-6.01744, 18.62401]
[-6.07148, 18.66937]
[-6.12652, 18.7138]
[-6.18256, 18.75727]
[-6.23957, 18.79977]
[-6.29754, 18.84127]
[-6.35644, 18.88176]
[-6.41628, 18.92122]
[-6.47701, 18.95961]
[-6.53864, 18.99693]
[-6.60113, 19.03315]
[-6.66446, 19.06826]
[-6.72863, 19.10222]
[-6.7936, 19.13504]
[-6.85936, 19.16668]
[-6.92588, 19.19713]
[-6.99315, 19.22637]
[-7.061141, 19.25439]
[-7.129829, 19.28116]
[-7.199194, 19.30668]
[-7.269213, 19.33092]
[-7.339861, 19.35387]
[-7.411116, 19.37551]
[-7.482952, 19.39584]
[-7.555346, 19.41483]
[-7.628272, 19.43247]
[-7.701706, 19.44875]
[-7.775621, 19.46365]
[-7.849993, 19.47717]
[-7.9247947, 19.48929]
[-8.0, 19.5]
[-8.0755822, 19.50929]
[-8.151515, 19.51714]
[-8.22777, 19.52356]
[-8.30432, 19.52852]
[-8.381139, 19.53203]
[-8.458197, 19.53406]
[-8.535467, 19.53462]
[-8.61292, 19.5337]
[-8.690529, 19.53129]
[-8.768263, 19.52738]
[-8.846095, 19.52197]
[-8.923996, 19.51505]
[-9.00193, 19.50662]
[-9.07988, 19.49668]
[-9.15781, 19.48522]
[-9.23569, 19.47224]
[-9.31349, 19.45773]
[-9.39119, 19.4417]
[-9.46874, 19.42414]
[-9.54612, 19.40506]
[-9.62331, 19.38445]
[-9.70027, 19.36232]
[-9.77696, 19.33866]
[-9.85337, 19.31348]
[-9.92946, 19.28678]
[-10.0052, 19.25856]
[-10.08056, 19.22883]
[-10.15551, 19.19759]
[-10.23002, 19.16485]
[-10.30406, 19.13061]
[-10.37759, 19.09488]
[-10.4506, 19.05766]
[-10.52305, 19.01897]
[-10.59491, 18.9788]
[-10.66615, 18.93717]
[-10.73673, 18.8941]
[-10.80664, 18.84957]
[-10.87585, 18.80362]
[-10.94431, 18.75625]
[-11.01201, 18.70746]
[-11.07891, 18.65728]
[-11.14499, 18.60571]
[-11.21021, 18.55277]
[-11.27456, 18.49848]
[-11.33799, 18.44284]
[-11.40049, 18.38587]
[-11.46203, 18.32759]
[-11.52257, 18.26801]
[-11.5821, 18.20715]
[-11.64058, 18.14503]
[-11.69798, 18.08167]
[-11.75429, 18.01708]
[-11.80948, 17.95128]
[-11.86351, 17.88429]
[-11.91638, 17.81614]
[-11.96804, 17.74684]
[-12.01848, 17.67641]
[-12.06767, 17.60488]
[-12.11558, 17.53226]
[-12.1622, 17.45858]
[-12.20751, 17.38387]
[-12.25147, 17.30815]
[-12.29407, 17.23143]
[-12.33529, 17.15375]
[-12.3751, 17.07513]
[-12.41348, 16.9956]
[-12.45041, 16.91517]
[-12.48588, 16.83389]
[-12.51986, 16.75177]
[-12.55234, 16.66884]
[-12.58329, 16.58513]
[-12.61271, 16.50067]
[-12.64056, 16.415489]
[-12.66683, 16.329609]
[-12.69152, 16.243064]
[-12.7146, 16.155882]
[-12.73605, 16.068093]
[-12.75587, 15.979729]
[-12.77403, 15.890819]
[-12.79053, 15.801394]
[-12.80535, 15.711487]
[-12.81848, 15.621127]
[-12.8299, 15.5303476]
[-12.83962, 15.4391804]
[-12.84761, 15.347658]
[-12.85386, 15.255813]
[-12.85837, 15.163678]
[-12.86113, 15.071286]
[-12.86213, 14.978671]
[-12.86136, 14.885867]
[-12.85882, 14.792907]
[-12.8545, 14.699825]
[-12.84838, 14.606656]
[-12.84048, 14.513433]
[-12.83079, 14.42019]
[-12.81929, 14.32696]
[-12.806, 14.23379]
[-12.7909, 14.1407]
[-12.77399, 14.04773]
[-12.75528, 13.95492]
[-12.73477, 13.86229]
[-12.71244, 13.76989]
[-12.68832, 13.67775]
[-12.66239, 13.58591]
[-12.63466, 13.4944]
[-12.60514, 13.40326]
[-12.57382, 13.31252]
[-12.54071, 13.22221]
[-12.50583, 13.13238]
[-12.46916, 13.04306]
[-12.43073, 12.95427]
[-12.39054, 12.86607]
[-12.34859, 12.77848]
[-12.30489, 12.69153]
[-12.25946, 12.60527]
[-12.21231, 12.51972]
[-12.16344, 12.43493]
[-12.11287, 12.35092]
[-12.06061, 12.26773]
[-12.00667, 12.1854]
[-11.95107, 12.10395]
[-11.89381, 12.02342]
[-11.83493, 11.94384]
[-11.77442, 11.86526]
[-11.71231, 11.78769]
[-11.64862, 11.71117]
[-11.58335, 11.63574]
[-11.51654, 11.56143]
[-11.4482, 11.48827]
[-11.37835, 11.41628]
[-11.307, 11.3455]
[-11.23419, 11.27597]
[-11.15993, 11.20771]
[-11.08424, 11.14075]
[-11.00715, 11.07512]
[-10.92867, 11.01085]
[-10.84885, 10.94797]
[-10.76768, 10.88651]
[-10.68522, 10.82649]
[-10.60147, 10.76794]
[-10.51647, 10.7109]
[-10.43024, 10.65538]
[-10.34281, 10.60141]
[-10.2542, 10.54902]
[-10.16446, 10.49824]
[-10.07359, 10.44908]
[-9.98165, 10.40157]
[-9.88864, 10.35574]
[-9.79462, 10.3116]
[-9.69959, 10.26919]
[-9.60361, 10.22852]
[-9.50669, 10.18961]
[-9.40888, 10.15248]
[-9.3102, 10.11716]
[-9.2107, 10.08366]
[-9.11039, 10.05201]
[-9.00932, 10.02221]
[-8.907515, 9.99429]
[-8.80502, 9.96827]
[-8.701866, 9.94416]
[-8.598089, 9.92197]
[-8.493724, 9.90173]
[-8.388808, 9.88344]
[-8.283378, 9.86712]
[-8.177471, 9.85279]
[-8.0711238, 9.84045]
[-7.9643746, 9.83011]
[-7.857261, 9.82179]
[-7.749821, 9.8155]
[-7.642094, 9.81125]
[-7.534118, 9.80904]
[-7.425931, 9.80888]
[-7.317573, 9.81078]
[-7.209084, 9.81475]
[-7.100502, 9.82079]
[-6.99187, 9.82891]
[-6.88322, 9.83911]
[-6.7746, 9.85139]
[-6.66605, 9.86576]
[-6.5576, 9.88222]
[-6.4493, 9.90077]
[-6.34119, 9.9214]
[-6.2333, 9.94413]
[-6.12569, 9.96895]
[-6.01838, 9.99585]
[-5.91143, 10.02483]
[-5.80486, 10.0559]
[-5.69872, 10.08904]
[-5.59306, 10.12425]
[-5.4879, 10.16152]
[-5.3833, 10.20085]
[-5.27929, 10.24223]
[-5.17591, 10.28565]
[-5.0732, 10.33111]
[-4.9712, 10.37858]
[-4.86996, 10.42807]
[-4.76951, 10.47956]
[-4.66988, 10.53304]
[-4.57113, 10.58849]
[-4.47329, 10.6459]
[-4.37639, 10.70526]
[-4.28049, 10.76654]
[-4.1856, 10.82975]
[-4.09178, 10.89485]
[-3.99906, 10.96183]
[-3.90748, 11.03067]
[-3.81708, 11.10136]
[-3.72789, 11.17386]
[-3.63995, 11.24817]
[-3.55329, 11.32426]
[-3.46796, 11.40211]
[-3.38398, 11.4817]
[-3.3014, 11.56299]
[-3.22024, 11.64598]
[-3.14055, 11.73062]
[-3.06235, 11.81691]
[-2.98568, 11.9048]
[-2.91057, 11.99428]
[-2.83705, 12.08531]
[-2.76517, 12.17787]
[-2.69494, 12.27193]
[-2.6264, 12.36746]
[-2.55958, 12.46443]
[-2.4945, 12.56281]
[-2.43121, 12.66256]
[-2.36972, 12.76366]
[-2.31007, 12.86606]
[-2.25229, 12.96975]
[-2.19639, 13.07468]
[-2.14241, 13.18082]
[-2.09037, 13.28813]
[-2.0403, 13.39658]
[-1.99222, 13.50614]
[-1.94616, 13.61676]
[-1.90213, 13.72841]
[-1.86017, 13.84105]
[-1.82029, 13.95464]
[-1.78252, 14.06915]
[-1.74687, 14.18454]
[-1.71336, 14.30076]
[-1.68202, 14.41778]
[-1.65286, 14.535552]
[-1.62589, 14.654041]
[-1.60114, 14.773205]
[-1.57863, 14.893001]
[-1.55835, 15.013389]
[-1.54034, 15.134325]
[-1.5246, 15.255768]




[9.334487, 1.152824]
[7.223683, 1.208129]
[12.757367, 1.095915]
[12.3716, 1.522309]
[12.639419, 1.713159]
[6.517386, 1.370596]
[5.155435, 1.789884]
[5.590022, 1.656921]
[10.106221, 0.755933]
[7.69386, 1.126597]
[11.104383, 1.380207]
[4.668601, 1.614472]
[12.364126, 0.872542]
[7.87931, 0.842862]
[10.320772, 0.739014]
[11.871623, 1.420966]
[12.78801, 1.600534]
[10.927366, 0.723709]
[12.76332, 1.740629]
[13.076744, 1.25188]
[5.781991, 1.935459]
[12.017719, 1.020295]
[8.772431, 0.232973]
[11.739015, 1.042604]
[8.060147, 0.845235]
[13.264474, 1.995036]
[8.298788, 1.23437]
[9.394359, 1.13931]
[8.526186, 0.494048]
[7.073173, 0.962513]
[10.068348, 0.984375]
[10.158077, 1.241144]
[13.397436, 2.039204]
[11.967689, 1.071077]
[5.529565, 1.786814]
[5.273732, 2.156723]
[9.917113, 1.010854]
[8.466723, 0.581085]
[9.174809, 0.544024]
[9.866306, 1.202823]
[11.983164, 0.895729]
[6.514489, 1.153615]
[6.489475, 0.698676]
[9.532395, 0.724945]
[10.758346, 1.06843]
[8.798773, 1.116672]
[7.236547, 0.699482]
[7.981854, 0.516542]
[12.598981, 1.903886]
[8.033683, 1.036419]
[9.803448, 0.5766]
[6.676172, 0.714875]
[12.747567, 1.115132]
[7.699581, 0.402209]
[11.335183, 1.187548]
[11.571711, 0.850133]
[5.960141, 1.267586]
[4.609128, 1.485337]
[4.68608, 1.498117]
[5.227641, 1.926032]
[10.295727, 0.497409]
[7.033319, 0.67947]
[12.079431, 1.461387]
[6.532893, 0.872956]
[5.733562, 1.929561]
[6.136853, 1.041199]
[9.241604, 0.945821]
[5.24713, 2.0582]
[13.085332, 1.621421]
[12.045804, 1.549028]
[5.549384, 1.510565]
[8.535765, 0.591235]
[9.44064, 0.62369]
[11.67684, 1.391153]
[12.896599, 1.093495]
[5.893139, 1.12577]
[5.74367, 1.268032]
[9.581591, 0.501826]
[7.324746, 1.281854]
[13.193469, 1.437586]
[9.445415, 0.632645]
[7.38866, 1.181232]
[8.265802, 0.706818]
[6.295703, 1.373701]
[13.141081, 1.62014]
[11.86604, 1.184867]
[9.461914, 0.688979]
[13.563604, 1.429316]
[10.483805, 0.5853]
[12.534647, 0.9376]
[9.342889, 0.773476]
[12.999348, 2.052444]
[11.399057, 0.959203]
[13.077424, 2.115714]
[11.258934, 1.196371]
[11.593803, 1.502332]
[7.678418, 0.716063]
[6.327315, 1.606448]
[9.281295, 0.455877]
[11.39502, 0.796715]
[4.881906, 2.00622]
[7.961628, 1.262012]
[13.005694, 1.462049]
[10.176667, 0.600142]
[9.248171, 0.902639]
[10.8935, 0.959625]
[11.26215, 1.016106]
[5.244503, 2.067939]
[12.295428, 1.789722]
[7.420007, 1.324116]
[5.291063, 1.501449]
[10.570623, 0.569125]
[10.365923, 0.48517]
[12.216934, 0.795762]
[9.702012, 1.101172]
[10.239858, 1.140636]
[6.730531, 0.885757]
[5.414775, 1.691063]
[9.900219, 0.319401]
[12.609561, 1.945344]
[10.697613, 1.274947]
[7.22545, 0.960189]
[8.813419, 0.89146]
[5.359439, 1.220647]
[7.348142, 0.902343]
[11.723657, 1.307178]
[5.10834, 1.379596]
[7.62816, 0.562116]
[9.621998, 0.790031]
[11.102332, 1.189444]
[4.810296, 1.689959]
[12.953193, 1.475924]
[10.895465, 0.539886]
[10.689784, 0.463538]
[7.82724, 0.565486]
[9.250751, 0.858705]
[8.75647, 0.361719]
[12.97338, 2.100323]
[13.478726, 2.146977]
[6.782341, 1.292641]
[10.431727, 1.214229]
[6.080499, 1.739941]
[10.881228, 1.191895]
[11.554848, 0.894135]
[12.88633, 1.42201]
[6.109505, 1.14076]
[11.691781, 0.567347]
[5.272124, 1.530809]
[13.008344, 1.568003]
[7.565714, 1.156033]
[7.057629, 1.198764]
[9.806249, 0.335892]
[13.375667, 2.03201]
[6.802517, 0.623155]
[11.750094, 1.335813]
[12.272082, 1.667907]
[11.230753, 1.290501]
[13.361134, 2.262057]
[13.200061, 1.283532]
[10.030635, 0.229035]
[4.831446, 1.979774]
[13.541902, 2.14476]
[12.288632, 0.812213]
[10.60136, 1.134938]
[11.335384, 1.131187]
[12.928917, 1.922183]
[9.264791, 0.197879]
[12.294325, 1.462003]
[8.784713, 1.119761]
[12.183034, 1.657537]
[9.349624, 0.326968]
[12.251656, 1.808408]
[7.013802, 1.079419]
[12.198951, 0.792304]
[7.778892, 0.876621]
[9.73659, 0.479814]
[4.626369, 1.512774]
[4.199754, -1.850145]
[13.881308, -1.907658]
[11.369596, -2.633406]
[12.082694, -2.592223]
[6.444028, -2.611099]
[8.411942, -2.907747]
[13.980305, -1.798008]
[5.951102, -2.857307]
[13.442199, -2.074626]
[15.301277, -0.885584]
[5.033045, -2.301626]
[12.407681, -2.638048]
[7.077633, -2.864986]
[6.875772, -2.600552]
[10.73985, -2.735283]
[4.518122, -2.324887]
[7.394957, -2.709314]
[9.313706, -3.011651]
[14.775856, -1.466438]
[2.775974, -1.018582]
[2.779874, -0.949832]
[3.239538, -1.757798]
[9.276047, -2.997131]
[12.258352, -2.285022]
[15.374271, -0.975722]
[4.144375, -2.026445]
[12.555099, -2.425936]
[15.57548, -0.3786]
[11.493136, -2.806131]
[5.403021, -2.659105]
[6.570029, -2.625277]
[15.415861, -0.5986]
[3.405492, -1.83514]
[8.532615, -3.134738]
[4.555155, -1.990911]
[11.047095, -2.983018]
[5.545465, -2.460757]
[14.526962, -1.32009]
[7.601567, -3.09012]
[3.619782, -1.532252]
[14.994776, -1.166931]
[3.183441, -1.29162]
[9.015413, -2.953507]
[8.561656, -2.822058]
[14.726582, -1.432345]
[4.398591, -2.179589]
[7.965519, -2.795076]
[3.779441, -1.860329]
[2.502035, -1.19172]
[7.784882, -2.728362]
[12.348508, -2.552497]
[10.001576, -3.172284]
[7.150428, -2.936463]
[10.73076, -2.897985]
[11.168593, -2.887751]
[9.378664, -2.804986]
[2.905665, -1.437509]
[15.31645, -0.816989]
[13.087864, -2.059768]
[14.216585, -1.497155]
[7.746956, -2.985687]
[12.4205, -2.435798]
[14.583544, -1.396342]
[2.498558, -0.905506]
[3.914443, -1.817051]
[6.289406, -2.547088]
[2.88477, -1.268808]
[10.033559, -3.142343]
[3.889665, -2.056723]
[8.442022, -3.131042]
[12.461895, -2.213956]
[6.52216, -2.873161]
[10.893432, -2.599105]
[9.810537, -3.116287]
[6.724987, -2.930355]
[14.939943, -1.323348]
[3.464761, -1.702687]
[14.398905, -1.148046]
[12.981833, -2.184624]
[9.417886, -2.971796]
[15.902382, -0.226401]
[7.956385, -2.90184]
[6.780886, -2.680877]
[15.772612, -0.173604]
[5.957396, -2.66756]
[8.030284, -2.758678]
[7.773381, -3.169834]
[7.313045, -3.078818]
[13.954544, -1.602427]
[8.95921, -2.768002]
[15.392334, -0.51876]
[4.692725, -2.41767]
[14.752693, -1.475469]
[4.081867, -1.936807]
[10.124928, -2.900919]
[3.444249, -1.451039]
[4.030257, -1.803651]
[2.636729, -1.106536]
[10.219504, -3.138954]
[5.932011, -2.528632]
[10.720875, -2.994568]
[14.67696, -1.449539]
[6.018342, -2.46883]
[9.097091, -2.878715]




[14.467691, 6.996328]
[15.483963, 8.536093]
[15.033198, 7.251656]
[15.226483, 7.647297]
[12.378816, 7.071152]
[15.232101, 8.278193]
[12.333202, 7.252878]
[15.122148, 7.991356]
[13.811322, 9.247271]
[14.898926, 9.871251]
[14.627355, 7.564961]
[15.119281, 7.276578]
[12.747731, 5.60194]
[12.489832, 6.982588]
[14.420009, 7.696498]
[14.831281, 7.037778]
[12.711283, 8.789611]
[12.564496, 8.440556]
[14.877943, 9.994827]
[14.82853, 8.300731]
[13.57998, 9.47421]
[13.277697, 8.784518]
[13.384955, 8.990073]
[14.940117, 9.186763]
[14.855328, 10.238964]
[15.393563, 8.133919]
[14.392284, 9.122481]
[15.244205, 8.127743]
[13.057822, 7.140635]
[12.593154, 6.314322]
[13.684204, 5.679649]
[15.352259, 8.392687]
[15.18504, 9.198326]
[13.341617, 6.301481]
[14.314407, 7.729475]
[13.584613, 7.188098]
[12.717114, 7.147808]
[15.38086, 8.138967]
[15.091329, 7.707609]
[14.527205, 8.697161]
[15.369001, 7.907358]
[14.570234, 7.65119]
[13.94771, 9.665133]
[13.165636, 6.429497]
[13.799973, 6.431171]
[13.021065, 8.177925]
[14.017493, 8.392248]
[14.961937, 7.88313]
[14.897748, 8.321614]
[13.412333, 6.871552]
[14.070959, 7.607155]
[15.466414, 8.186728]
[15.251616, 9.323279]
[14.076915, 9.126124]
[14.363692, 8.303235]
[15.009216, 8.525306]
[14.080224, 9.00573]
[14.338515, 7.470245]
[12.568517, 7.997786]
[12.451495, 7.645038]
[13.445472, 7.144403]
[12.918224, 7.859076]
[15.08847, 8.956548]
[13.093722, 8.702083]
[13.284205, 6.875322]
[14.295099, 6.457086]
[15.308894, 7.890213]
[15.245009, 9.334135]
[12.791996, 5.656481]
[13.927818, 7.81259]
[12.921575, 7.907944]
[13.816445, 6.827832]
[13.571455, 7.127505]
[15.18401, 8.971322]
[14.619501, 9.327803]
[14.705873, 10.02109]
[14.858395, 8.803081]
[13.063035, 7.020538]
[13.012642, 9.133684]
[13.954299, 7.294426]
[12.640934, 7.101787]
[15.43959, 8.026493]
[14.422972, 9.802779]
[14.705992, 9.211237]
[14.310111, 7.95509]
[13.647328, 7.998586]
[15.215679, 9.365814]
[14.053382, 7.91048]
[14.029798, 8.030588]
[14.744164, 7.137071]
[14.651739, 7.160326]
[13.625866, 8.724216]
[13.038178, 6.143727]
[15.218923, 9.770154]
[14.403777, 9.716157]
[13.975433, 9.653181]
[15.212855, 8.888133]
[15.174351, 8.561474]
[15.225057, 8.289679]
[14.001085, 8.004094]
[14.260323, 6.5607]
[13.82326, 8.301287]
[12.634696, 7.066673]
[13.631439, 7.956052]
[13.629915, 9.500306]
[15.290749, 7.983204]
[13.840223, 8.713207]
[13.873248, 8.9819]
[13.581866, 7.724301]
[15.200565, 7.66262]
[13.033359, 8.861639]
[15.212991, 7.879142]
[15.323066, 9.383011]
[14.042595, 7.891128]
[14.325233, 7.811958]
[11.856661, 5.809234]
[12.088376, 6.220069]
[14.378083, 7.683096]
[14.243624, 7.503705]
[15.440384, 8.22681]
[12.828852, 8.795628]
[14.51794, 8.926405]
[12.895425, 6.93299]
[15.278522, 8.704539]
[14.597762, 8.654923]
[15.281734, 8.488202]
[13.666319, 5.822008]
[15.184296, 9.477694]
[14.254043, 6.392232]
[13.361805, 6.515779]
[13.23889, 9.278698]
[14.715869, 8.38139]
[15.446775, 8.193702]
[13.008355, 6.722759]
[15.120784, 9.169673]
[13.430561, 7.933387]
[14.85332, 6.881017]
[14.405784, 8.554646]
[15.049986, 7.219508]
[13.22296, 5.947389]
[13.550632, 8.80337]
[13.340499, 5.568015]
[12.900485, 8.453444]
[15.360498, 8.718546]
[13.121882, 5.592577]
[14.916961, 9.932133]
[15.400432, 8.613181]
[14.993649, 7.866459]
[14.42061, 9.936549]
[15.054545, 9.717558]
[14.156304, 8.989649]
[13.997844, 7.849653]
[14.448628, 7.471354]
[14.799712, 7.028166]
[11.889374, 5.341663]
[14.901324, 10.159952]
[13.374799, 6.224897]
[12.885301, 7.416095]
[15.470857, 8.807376]
[12.525832, 8.669703]
[14.259777, 9.168304]
[15.448262, 8.68363]
[13.93376, 9.354774]
[14.912334, 9.473299]
[14.744654, 9.810627]
[14.094258, 8.338025]
[15.305145, 7.595782]
[14.033184, 7.274246]
[13.531513, 6.252712]
[14.308805, 8.32555]
[14.830599, 7.894621]
[15.219804, 8.085763]
[13.315604, 7.919196]
[15.237302, 9.578815]
[14.54527, 8.400716]
[14.703959, 7.207779]
[13.693878, 9.060547]
[13.888142, 8.401146]
[15.007263, 9.132867]
[14.12481, 6.071675]
[15.316945, 9.466413]
[12.557319, 6.278129]
[14.60275, 9.517563]
[12.734826, 7.623444]
[14.446369, 6.515003]
[14.381416, 6.75597]
[14.013289, 9.097723]
[15.073816, 7.156667]
[14.162226, 6.686927]
[14.938529, 10.012283]
[13.478544, 7.817333]
[13.865072, 6.18129]
[14.776237, 6.566854]
[15.363465, 7.899906]
[14.919139, 6.909421]
[13.692554, 6.065558]
[12.662107, 6.534719]
[15.3851, 7.759741]
[13.17435, 9.19686]
[15.322183, 8.409755]
[14.547419, 7.001063]
[14.394662, 8.385033]
[13.508667, 7.592837]
[14.402592, 7.39681]
[15.196695, 8.759336]
[12.797873, 6.74711]
[12.955037, 5.649479]
[14.675883, 7.945219]
[13.092329, 9.110222]
[14.028092, 2.368055]
[17.724251, 7.84472]
[16.225979, 3.947343]
[17.028515, 6.344414]
[16.547369, 5.143048]
[16.640436, 4.971423]
[17.412525, 8.974755]
[16.422607, 4.982603]
[16.621214, 4.356432]
[16.241791, 5.555814]
[16.384071, 5.921421]
[16.616755, 5.86778]
[15.148834, 3.696327]
[17.246786, 8.377608]
[16.287956, 5.122839]
[17.830322, 7.44507]
[17.765898, 8.931498]
[17.393686, 6.949513]
[17.139135, 6.61604]
[17.344849, 8.496768]
[15.579914, 3.494484]
[15.981623, 3.996281]
[15.646523, 3.32825]
[17.30184, 6.223021]
[17.318405, 7.115451]
[15.957218, 4.841248]
[16.83012, 6.814394]
[16.742676, 6.658606]
[15.434223, 2.978011]
[15.718973, 3.704241]
[16.074287, 4.665036]
[16.640779, 4.375169]
[17.395782, 8.784857]
[17.188143, 8.104209]
[13.984904, 2.72893]
[17.335682, 6.198524]
[16.476387, 4.730359]
[17.119993, 6.965233]
[16.524172, 4.971552]
[16.778311, 4.823045]
[17.399553, 6.83109]
[17.510366, 6.454608]
[16.31424, 4.801148]
[16.218441, 5.290933]
[16.134411, 3.77359]
[16.875832, 5.110746]
